Country,migration_rate
Qatar,54.70
Oman,48.50
Lebanon,41.50
Kuwait,34.00
Maldives,28.40
Jordan,25.60
Luxembourg,18.10
Equatorial Guinea,17.00
Macau,14.90
Singapore,11.80
Saudi Arabia,11.70
Gabon,11.20
Switzerland,9.90
Curaçao,8.80
Norway,8.80
Australia,8.60
Iraq,8.00
Malta,7.30
Canada,7.10
Bahrain,6.40
Austria,6.30
United Arab Emirates,6.10
Italy,5.50
Sweden,5.30
Germany,4.80
Turkey,4.70
Belgium,4.70
Belize,4.40
Guernsey and  Jersey,4.40
Cyprus,4.00
New Zealand,4.00
United Kingdom,4.00
Denmark,3.80
South Africa,3.50
Afghanistan,3.30
United States,3.20
Finland,3.00
Bahamas,2.70
Russia,2.50
Aruba,2.40
New Caledonia,2.30
Hong Kong,2.10
Antigua and Barbuda,2.10
Kazakhstan,1.90
Chile,1.90
Malaysia,1.70
South Korea,1.60
Slovenia,1.60
Chad,1.50
Taiwan,1.50
Panama,1.50
Belarus,1.50
Djibouti,1.40
Vanuatu,1.40
Angola,1.40
Mauritania,1.30
France,1.30
Liberia,1.20
Western Sahara,1.10
Czech Republic,1.10
Ethiopia,0.80
Costa Rica,0.80
Serbia,0.70
Netherlands,0.70
Japan,0.60
Ukraine,0.60
Israel,0.50
Thailand,0.50
Slovakia,0.40
Niger,0.20
Azerbaijan,0.20
Bhutan,0.10
Argentina,0.10
DR Congo,0.00
Saint Lucia,0.00
Brazil,0.00
Madagascar,-0.10
Papua New Guinea,-0.10
Kenya,-0.20
China,-0.20
North Korea,-0.20
Cameroon,-0.30
Mongolia,-0.30
Barbados,-0.30
Moldova,-0.30
Ghana,-0.40
Nigeria,-0.40
Uzbekistan,-0.40
India,-0.40
Brunei,-0.40
Indonesia,-0.40
Ecuador,-0.50
Sierra Leone,-0.60
Egypt,-0.60
Yemen,-0.60
Trinidad and Tobago,-0.60
Guatemala,-0.60
Zambia,-0.70
Ivory Coast,-0.70
Honduras,-0.70
Mexico,-0.70
Algeria,-0.80
Colombia,-0.80
Benin,-0.90
Guinea-Bissau,-0.90
Vietnam,-0.90
French Guiana,-0.90
North Macedonia,-0.90
Malawi,-1.00
Tanzania,-1.00
Montenegro,-1.00
Pakistan,-1.10
Bolivia,-1.10
Mayotte,-1.30
Iran,-1.30
Iceland,-1.30
Cuba,-1.40
Burundi,-1.50
Burkina Faso,-1.50
Gambia,-1.60
Estonia,-1.60
Uganda,-1.70
Philippines,-1.70
Poland,-1.70
Suriname,-1.80
Uruguay,-1.80
Croatia,-1.80
Mauritius,-1.90
Turkmenistan,-1.90
Grenada,-1.90
Rwanda,-2.00
South Sudan,-2.00
Cambodia,-2.00
Myanmar,-2.00
Seychelles,-2.10
Armenia,-2.10
Morocco,-2.20
Spain,-2.20
Congo,-2.60
Comoros,-2.70
Paraguay,-2.70
Portugal,-2.70
Tunisia,-2.80
Solomon Islands,-2.80
Sudan,-2.90
Haiti,-2.90
Venezuela,-2.90
Bangladesh,-3.00
Romania,-3.00
Greece,-3.00
Senegal,-3.10
Dominican Republic,-3.10
Cape Verde,-3.20
Réunion,-3.30
Namibia,-3.30
Kyrgyzstan,-3.30
Tajikistan,-3.40
Laos,-3.50
Somalia,-3.60
Mali,-3.70
Jamaica,-4.00
Peru,-4.20
Nicaragua,-4.50
Lesotho,-4.70
Georgia,-4.70
Sri Lanka,-4.70
East Timor,-4.90
Ireland,-4.90
Guinea,-5.40
Saint Vincent and the Grenadines,-5.40
Micronesia,-5.70
French Polynesia,-5.90
Botswana,-7.10
Palestine,-7.30
Eswatini,-7.70
El Salvador,-7.70
Kiribati,-7.70
Guadeloupe,-7.90
Latvia,-8.10
U.S. Virgin Islands,-8.50
São Tomé and Príncipe,-8.80
Guyana,-9.20
Zimbabwe,-9.40
Albania,-9.40
Libya,-9.50
Guam,-9.50
Lithuania,-9.70
Martinique,-11.70
Fiji,-12.00
Samoa,-12.80
Puerto Rico,-13.90
Bosnia and Herzegovina,-14.50
Eritrea,-15.10
Nepal,-15.10
Central African Republic,-17.80
Tonga,-25.40
Syria,-54.70
